caseid,weight,sample,int_date,lang,cregion,state,usr,density,form,q1,q2a,q2b,q2c,q2e,q2f,q2gf1,q2hf2,q3,q4,q5a,q5b,q5c,q6,q7,q8,q9f1,q9f1_code1,q9f1_code2,q9f1_code3,q12a,q12b,q13,q16,q17,q18,q20f1,q21af2,q21bf2,q21cf2,q23,q24a,q24b,q24c,q24d,q24e,q24f,q25,q27,q28,q29,q30,q32,q33,q34,q35,q37,q38,q39,q40,q41,knosct14,knosct15,knosct16,knosct17,knosct18,knosct19,knosct_count,sexz,agerec,educ2,scideg,hisp,racecmb,race3m1,race3m2,race3m3,race3m4,racethn,birth_hisp,usborn,marital,parent,citizen,relig,chr,born,attend,income,reg,party,partyln,ideo,hh1,hh3,eminuse,intmob,ql1,ql1a,qc1
102759,3,1,82114,1,3,12,S,2,1,2,3,2,3,2,3,3, ,2,1,2,2,2,2,2,2, , , , ,2,1,1,2, ,2,2, , , ,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,2,3,2,2,2,3,1,2,1,1,2,3,4,2,57,3, ,2,1,1, , , ,1, ,1,1,2, ,1, ,1,3,6,1,2, ,3,2,2,1,1,1, , 
102762,1.85714285714286,1,82114,1,3,13,S,4,2,2,4,1,2,3,3, ,2,1,1,1,1,1,1,2,1, , , , ,1,1,2,2, ,1, ,2, ,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,3,1,3,3,8,1,2,1,80,3, ,2,1,1, , , ,1, ,1,1,2, ,2, ,1,1,8,2,1, ,1,1, ,1,1,1, , 
102782,2.35714285714286,1,82214,1,2,26,S,3,1,2,3,1,2,3,3,2, ,2,1,2,1,1,2,2,2, , , , ,1,1,2,1,2,1,2, , , ,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1,3,2,4,5,2,64,6,2,2,1,1, , , ,1, ,1,1,2, ,2, ,2,4,5,1,3,1,2,2,2,1,1,1, , 
102783,1.21428571428571,1,82114,1,1,25,U,5,2,1,2,2,2,4,3, ,2,1,1,1,1,2,1,1,2, , , , ,1,1,1,1,1,1, ,1,1, ,1,2,2,2,1,9,9,2,1,9,9,1,2,2,1,2,4,9,9,2,1,3,8,1,2,8,3,1,1,74,8,2,2,1,1, , , ,1, ,1,4,2, ,11,2, ,3,6,1,2, ,5,1, ,1,2,1, , 
102790,2.71428571428571,1,82114,1,1,34,S,5,1,2,4,1,4,3,3,4, ,2,1,1,1,1,1,2,2, , , , ,1,1,1,1,2,2,2, , , ,1,9,2,2,1,1,1,2,1,2,1,1,2,2,2,1,2,1,9,2,3,1,2,1,3,2,1,6,1,42,6,2,2,1,1, , , ,1, ,2,1,1,2,2, ,2,3,8,3,3,1,4,5,2,1,1,1, , 
102797,2,1,82114,1,3,24,S,4,2,2,2,2,3,4,4, ,2,1,1,2,1,1,2,1,2, , , , ,1,1,9,1,9,2, ,1,1, ,2,1,1,1,2,1,2,2,1,2,2,2,1,2,1,2,1,2,2,2,2,1,2,1,2,2,1,5,1,99,8,1,2,2,2, , , ,2, ,1,9,2, ,1, ,1,1,6,1,3,9,3,1, ,1,1,1, , 
102800,3.21428571428571,1,82214,1,3,13,S,1,2,2,2,2,2,4,4, ,2,3,1,1,1,1,1,2,1, , , , ,1,1,1,2, ,2, ,1,1, ,1,1,1,1,1,1,2,2,1,2,1,1,2,2,1,1,3,2,1,1,3,3,1,2,3,2,1,3,1,18,2, ,2,1,1, , , ,1, ,1,6,2, ,1, ,1,6,7,3,1, ,3,3,2,1,1,1, , 
102811,29.2142857142857,1,82114,1,1,36,R,1,2,2,9,9,4,9,4, ,3,3,2,1,9,1,2,9,2, , , , ,2,9,2,2, ,2, ,2, ,1,1,2,1,9,2,1,2,2,2,2,2,1,1,2,2,2,3,9,2,2,3,1,1,2,2,3,4,1,2,71,1, ,2,1,1, , , ,1, ,1,5,2, ,1, ,1,3,10,3,1, ,3,2,2,2,2,1, , 
102826,3.28571428571429,1,82114,1,2,17,U,5,1,2,1,1,1,2,1,1, ,1,1,1,1,2,2,1,1,9,99, , ,2,2,2,1,2,2,3, , , ,1,2,1,1,1,1,1,2,1,2,2,1,2,2,1,2,1,2,2,1,3,1,2,1,3,2,4,5,1,63,8,2,2,1,1, , , ,1, ,1,1,2, ,2, ,1,5,10,1,3,9,3,2,2,1,1,1, , 
102828,25.3571428571429,1,82114,1,3,5,R,1,2,2,4,4,4,4,4, ,4,4,2,2,2,2,2,1,2, , , , ,2,2,1,2, ,1, ,2, ,2,1,1,1,1,2,1,1,2,2,1,1,1,1,2,2,1,5,2,2,1,1,1,8,8,1,1,1,2,1,90,6,2,2,1,1, , , ,1, ,1,1,2, ,1, ,1,6,4,1,1, ,1,2,2,2,2,2,2, 
